"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Antarctica","2","5","0","0","3","0","0","0","0","0","10"
"Bouvet Island","1","1","0","0","1","0","0","0","0","0","3"
"French Southern Territories","3","14","7","0","12","0","0","2","0","0","38"
"Heard Island and McDonald Islands","1","10","0","0","2","0","0","0","0","0","13"
"South Georgia and the South Sandwich Islands","3","6","0","0","2","0","0","0","0","0","11"
"Anguilla","1","0","8","0","48","0","25","3","0","0","85"
"Antigua and Barbuda","2","3","8","0","48","0","25","2","0","0","88"
"Aruba","2","1","2","0","50","1","25","5","0","0","86"
"Bahamas","5","9","13","0","60","1","27","29","0","0","144"
"Barbados","3","3","7","0","47","0","26","4","0","0","90"
"Bermuda","4","3","4","0","36","2","35","8","0","0","92"
"Bonaire, Sint Eustatius and Saba","3","1","7","0","51","0","27","7","0","0","96"
"Cayman Islands","1","1","11","0","43","2","28","23","0","0","109"
"Cuba","10","17","44","48","65","0","38","219","0","0","441"
"Curaçao","3","1","5","0","46","0","26","5","0","0","86"
"Dominica","3","6","3","2","49","0","25","20","0","0","108"
"Dominican Republic","5","17","58","35","47","0","35","151","0","0","348"
"Grenada","3","2","7","1","48","0","26","7","0","0","94"
"Guadeloupe","4","4","14","3","47","1","29","20","0","0","122"
"Haiti","2","17","67","45","61","0","30","277","0","0","499"
"Jamaica","7","10","28","20","48","0","30","213","0","0","356"
"Martinique","1","5","9","2","45","2","23","19","1","0","107"
"Montserrat","2","3","4","1","45","0","25","8","0","0","88"
"Puerto Rico","2","13","16","14","49","0","25","78","1","0","198"
"Saint Barthélemy","1","0","4","0","36","0","25","2","0","0","68"
"Saint Kitts and Nevis","2","3","6","1","46","0","25","5","0","0","88"
"Saint Lucia","2","7","9","0","46","0","25","16","0","0","105"
"Saint Martin (French part)","2","1","7","0","44","0","25","2","0","0","81"
"Saint Vincent and the Grenadines","2","4","8","1","47","0","25","8","0","0","95"
"Sint Maarten (Dutch part)","2","1","7","0","44","0","25","1","0","0","80"
"Trinidad and Tobago","3","4","7","4","61","0","26","64","0","0","169"
"Turks and Caicos Islands","2","3","8","0","45","0","25","11","0","0","94"
"Virgin Islands, British","1","2","15","2","47","0","25","26","0","0","118"
"Virgin Islands, U.S.","1","3","14","3","47","0","23","23","0","0","114"
"China","77","94","56","149","329","15","94","816","8","0","1,638"
"Hong Kong","6","22","8","6","35","1","14","16","0","0","108"
"Japan","29","50","26","45","170","61","144","74","15","0","614"
"Korea, Democratic People's Republic of","10","31","2","2","52","0","4","20","2","0","123"
"Korea, Republic of","12","35","3","9","81","6","15","38","3","0","202"
"Macao","0","4","2","1","21","0","1","0","0","0","29"
"Mongolia","10","24","0","0","1","0","2","1","4","0","42"
"Taiwan, Province of China","12","25","15","10","150","2","128","88","2","0","432"
"Åland Islands","0","0","0","0","0","0","0","1","0","0","1"
"Albania","4","8","6","3","61","54","24","5","0","0","165"
"Andorra","3","3","2","1","0","2","5","1","0","0","17"
"Austria","5","13","1","2","13","45","65","38","51","0","233"
"Belgium","3","8","0","1","21","7","17","3","25","0","85"
"Bosnia and Herzegovina","5","9","3","4","53","22","39","5","1","0","141"
"Bulgaria","10","18","3","2","21","35","40","13","9","0","151"
"Croatia","9","15","4","4","80","56","46","10","26","0","250"
"Czechia","5","10","0","2","2","8","41","31","34","0","133"
"Denmark","2","10","0","0","27","6","15","2","32","0","94"
"Estonia","1","11","0","0","4","4","6","2","29","0","57"
"Faroe Islands","4","5","0","0","22","0","0","1","4","0","36"
"Finland","2","12","0","0","5","4","13","4","31","0","71"
"France","13","19","6","6","78","97","132","66","63","0","480"
"Germany","7","12","1","2","35","32","69","51","55","0","264"
"Gibraltar","4","10","0","1","37","5","4","1","0","0","62"
"Greece","12","18","7","6","95","188","178","86","11","0","602"
"Greenland","9","6","0","0","13","0","0","1","2","0","31"
"Guernsey","0","0","0","0","15","1","0","0","0","0","16"
"Holy See (Vatican City State)","2","0","0","0","0","0","0","0","0","0","2"
"Hungary","6","14","1","2","11","10","38","45","21","0","148"
"Iceland","6","7","0","0","22","0","1","0","6","0","42"
"Ireland","4","9","1","0","46","5","3","8","22","0","98"
"Isle of Man","0","0","0","0","9","0","0","1","0","0","10"
"Italy","9","17","6","13","73","89","191","121","50","0","569"
"Jersey","0","0","0","0","15","2","0","0","1","0","18"
"Latvia","1","13","0","0","6","4","12","1","11","0","48"
"Liechtenstein","0","3","0","1","0","2","6","1","4","0","17"
"Lithuania","1","11","0","0","6","4","7","2","15","0","46"
"Luxembourg","0","3","0","1","1","7","4","3","2","0","21"
"Malta","3","6","1","0","44","5","7","4","1","0","71"
"Monaco","5","0","0","0","38","2","3","2","0","0","50"
"Montenegro","7","12","4","3","53","27","57","6","4","0","173"
"Netherlands","4","10","0","1","23","7","13","3","29","0","90"
"North Macedonia","7","12","3","2","13","71","28","6","7","0","149"
"Norway","8","11","0","0","34","4","12","20","49","0","138"
"Poland","4","13","0","1","9","9","35","16","30","0","117"
"Portugal","15","17","4","4","89","86","170","141","14","0","540"
"Romania","14","18","3","1","21","27","67","14","9","0","174"
"San Marino","1","1","0","1","2","1","0","0","0","0","6"
"Serbia","8","14","2","2","14","10","60","9","7","0","126"
"Slovakia","5","13","0","1","7","9","37","32","33","0","137"
"Slovenia","8","11","3","4","53","36","69","12","22","0","218"
"Spain","18","23","19","9","99","168","186","291","50","0","863"
"Svalbard and Jan Mayen","4","4","0","0","5","0","0","1","0","0","14"
"Sweden","1","12","0","0","25","5","16","12","49","0","120"
"Switzerland","5","10","1","3","9","12","74","20","44","0","178"
"United Kingdom","4","12","1","0","63","8","24","53","43","0","208"
"Belize","10","7","8","2","67","0","27","114","0","0","235"
"Costa Rica","12","24","16","56","138","2","57","463","6","0","774"
"El Salvador","6","9","10","8","52","0","11","106","0","0","202"
"Guatemala","16","18","39","96","98","2","36","470","1","0","776"
"Honduras","10","17","60","70","89","0","36","214","2","0","498"
"Mexico","97","67","106","232","305","14","152","1,632","7","0","2,614"
"Nicaragua","9","18","11","11","97","2","33","129","0","0","310"
"Panama","18","17","16","78","128","0","40","288","3","0","588"
"Algeria","18","19","7","2","66","10","33","31","2","0","188"
"Egypt","20","16","12","0","95","2","58","13","0","0","216"
"Libya","12","10","6","0","53","1","5","8","0","0","95"
"Morocco","21","21","12","3","86","49","35","58","7","0","292"
"Tunisia","15","13","5","0","60","8","15","12","2","0","130"
"Western Sahara","12","6","1","0","64","2","1","1","0","0","87"
"Canada","18","22","6","1","52","21","24","21","30","0","196"
"Saint Pierre and Miquelon","4","9","0","0","13","0","0","0","0","0","26"
"United States","43","82","39","66","282","320","350","749","88","0","2,021"
"Belarus","4","11","0","0","3","4","9","2","4","0","37"
"Moldova","6","12","2","0","8","3","4","2","0","0","37"
"Russian Federation","33","58","8","0","64","7","38","68","42","0","318"
"Ukraine","13","18","2","1","25","10","38","29","14","0","150"
"American Samoa","1","6","6","0","27","5","61","3","0","0","109"
"Australia","70","67","76","46","218","182","423","798","14","0","1,895"
"Christmas Island","2","5","3","0","24","0","20","2","0","0","56"
"Cocos (Keeling) Islands","2","1","1","0","25","0","21","0","0","0","50"
"Cook Islands","1","10","3","0","21","1","33","13","0","0","82"
"Fiji","7","14","16","0","36","85","108","96","0","0","362"
"French Polynesia","0","35","3","0","41","41","35","293","0","0","448"
"Guam","3","13","5","0","26","6","54","5","0","0","112"
"Kiribati","2","5","2","0","25","1","81","0","0","0","116"
"Marshall Islands","1","6","4","0","29","1","73","0","0","0","114"
"Micronesia, Federated States of","6","14","8","0","34","3","117","15","0","0","197"
"Nauru","2","3","0","0","22","0","69","0","0","0","96"
"New Caledonia","8","19","72","0","54","28","102","717","4","0","1,004"
"New Zealand","9","67","52","3","49","39","26","21","13","0","279"
"Niue","1","7","4","0","21","0","31","2","0","0","66"
"Norfolk Island","1","11","2","0","14","12","12","2","0","0","54"
"Northern Mariana Islands","3","14","4","0","26","4","53","7","0","0","111"
"Palau","5","7","4","0","35","41","109","9","0","0","210"
"Papua New Guinea","50","33","13","27","139","24","182","733","3","0","1,204"
"Pitcairn","0","9","0","0","12","5","12","10","0","0","48"
"Samoa","2","4","4","0","29","5","64","15","0","0","123"
"Solomon Islands","24","17","7","3","45","4","148","62","0","0","310"
"Tokelau","0","0","3","0","23","0","36","0","0","0","62"
"Tonga","2","5","4","0","30","25","45","10","0","0","121"
"Tuvalu","2","0","4","0","23","1","78","0","0","0","108"
"United States Minor Outlying Islands","0","10","1","0","18","0","38","0","0","0","67"
"Vanuatu","8","9","5","0","34","6","89","30","0","0","181"
"Wallis and Futuna","0","7","2","0","23","1","64","3","0","0","100"
"Argentina","39","55","29","32","119","0","19","80","32","0","405"
"Bolivia, Plurinational States of","24","45","14","53","41","2","1","400","3","0","583"
"Brazil","97","145","94","189","439","22","89","1,362","38","0","2,475"
"Chile","18","36","28","35","62","1","13","110","22","0","326"
"Colombia","62","86","40","300","194","4","78","953","22","0","1,739"
"Ecuador","49","77","93","292","83","49","28","2,061","3","6","2,741"
"Falkland Islands (Malvinas)","4","8","0","0","8","0","0","5","6","0","31"
"French Guiana","8","3","7","4","74","0","1","65","0","0","162"
"Guyana","11","9","6","21","93","0","1","156","1","0","298"
"Paraguay","11","27","12","1","18","0","2","29","4","0","104"
"Peru","51","82","33","139","117","4","7","732","2","0","1,167"
"Suriname","9","3","6","0","71","0","1","66","0","0","156"
"Uruguay","9","22","7","1","83","0","3","22","1","0","148"
"Venezuela, Bolivarian Republic of","37","35","33","127","140","1","59","510","3","0","945"
"Bangladesh","39","34","30","0","84","0","7","49","0","0","243"
"Bhutan","28","19","10","1","5","0","1","63","2","0","129"
"British Indian Ocean Territory","0","1","2","0","27","0","70","0","0","0","100"
"Brunei Darussalam","38","41","10","2","69","0","18","223","0","0","401"
"Cambodia","45","31","23","8","104","1","83","91","0","0","386"
"Disputed Territory","0","0","0","0","20","0","1","0","0","0","21"
"India","98","88","106","139","333","7","135","637","3","0","1,546"
"Indonesia","212","155","77","29","372","42","343","1,371","2","0","2,603"
"Lao People's Democratic Republic","49","28","35","10","56","16","7","122","1","0","324"
"Malaysia","81","67","60","41","183","45","284","1,449","6","0","2,216"
"Maldives","2","0","3","0","47","0","45","0","0","0","97"
"Myanmar","54","55","38","6","105","3","75","181","0","0","517"
"Nepal","30","36","17","2","11","1","2","31","2","0","132"
"Philippines","43","91","36","27","151","3","353","1,072","1","0","1,777"
"Singapore","18","22","8","0","80","1","179","73","0","0","381"
"Sri Lanka","29","13","113","71","138","0","153","320","0","0","837"
"Thailand","65","67","42","12","157","16","201","298","1","0","859"
"Timor-Leste","6","8","3","0","40","0","1","8","0","0","66"
"Viet Nam","64","51","75","73","148","30","161","451","0","0","1,053"
"Angola","23","33","10","0","83","7","4","79","0","0","239"
"Benin","16","14","8","1","74","3","1","18","2","0","137"
"Botswana","11","18","1","0","2","0","0","3","0","0","35"
"Burkina Faso","13","15","4","0","3","0","0","6","0","0","41"
"Burundi","16","18","1","1","16","3","3","159","0","0","217"
"Cabo Verde","5","6","6","0","47","14","1","51","0","0","130"
"Cameroon","49","30","24","60","154","14","14","931","0","0","1,276"
"Central African Republic","20","18","7","0","3","2","0","54","0","0","104"
"Chad","17","19","5","0","1","6","0","8","0","0","56"
"Comoros","6","13","9","0","26","0","81","16","0","0","151"
"Congo","18","6","8","1","84","7","0","120","0","0","244"
"Congo, The Democratic Republic of the","48","40","18","13","131","45","9","460","0","0","764"
"Côte d'Ivoire","34","26","9","7","90","8","2","159","0","0","335"
"Djibouti","11","15","1","0","48","1","56","4","0","0","136"
"Equatorial Guinea","24","3","8","6","83","2","2","181","0","0","309"
"Eritrea","16","22","7","0","54","1","57","7","0","0","164"
"Eswatini","9","15","1","0","5","0","3","50","0","0","83"
"Ethiopia","40","35","4","12","15","4","11","210","0","0","331"
"Gabon","17","5","8","5","98","2","2","501","0","0","638"
"Gambia","11","19","6","0","82","3","0","6","0","0","127"
"Ghana","23","25","9","9","88","9","3","126","0","0","292"
"Guinea","34","22","10","7","119","6","5","226","0","0","429"
"Guinea-Bissau","15","15","9","0","73","3","0","12","0","0","127"
"Kenya","32","45","22","15","103","20","79","408","0","0","724"
"Lesotho","4","9","0","0","1","0","1","5","0","0","20"
"Liberia","27","14","9","2","94","5","7","144","0","0","302"
"Madagascar","133","37","139","147","115","35","252","2,980","1","0","3,839"
"Malawi","10","20","4","5","37","7","11","64","0","0","158"
"Mali","15","19","4","0","1","5","0","29","0","0","73"
"Mauritania","19","24","6","0","79","3","1","1","0","0","133"
"Mauritius","7","12","15","0","31","33","93","103","0","0","294"
"Mayotte","2","3","7","1","26","0","77","14","0","0","130"
"Mozambique","19","32","15","7","112","0","68","306","0","0","559"
"Namibia","15","33","5","0","49","2","2","66","0","0","172"
"Niger","15","16","4","0","3","2","0","4","0","0","44"
"Nigeria","36","22","15","13","104","5","10","262","0","0","467"
"Réunion","4","7","2","0","36","17","73","24","0","0","163"
"Rwanda","24","20","4","2","6","0","4","136","0","0","196"
"Saint Helena, Ascension and Tristan da Cunha","3","21","2","0","20","1","106","45","1","0","199"
"Sao Tome and Principe","4","13","6","3","38","4","2","73","0","0","143"
"Senegal","23","23","9","0","91","15","1","23","0","0","185"
"Seychelles","7","13","12","6","48","37","285","60","0","0","468"
"Sierra Leone","25","17","10","1","88","7","5","150","0","0","303"
"Somalia","18","20","5","0","65","2","60","97","0","0","267"
"South Africa","33","54","25","16","157","23","193","460","0","0","961"
"South Sudan","18","23","5","0","0","0","1","25","0","0","72"
"Sudan","20","26","6","0","55","0","50","17","0","0","174"
"Tanzania, United Republic of","45","47","41","61","225","11","137","1,048","0","0","1,615"
"Togo","16","15","9","2","68","4","1","15","0","0","130"
"Uganda","32","33","8","2","55","17","17","158","0","0","322"
"Zambia","13","22","4","0","26","12","1","70","0","0","148"
"Zimbabwe","10","22","5","6","5","0","8","81","0","0","137"
"Afghanistan","12","15","3","1","11","0","2","13","0","0","57"
"Armenia","7","14","7","0","4","0","6","82","0","0","120"
"Azerbaijan","7","17","8","1","13","1","5","50","1","0","103"
"Bahrain","3","8","4","0","39","0","13","0","0","0","67"
"Cyprus","7","8","3","1","40","7","16","23","3","0","108"
